Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
09/05/2019,2.0568,2.0591,2.0216,2.0436,-0.0126,2.0381,8115,5188,,,284
08/05/2019,2.0407,2.0686,2.0282,2.0562,0.0186,2.0523,6702,5448,,,50
07/05/2019,2.0683,2.0704,2.0212,2.0376,-0.03,2.0398,7152,5750,,,200
06/05/2019,2.0449,2.0873,2.0284,2.0676,-0.0026,2.0667,6350,5863,,,235
03/05/2019,2.0726,2.0921,2.055,2.0702,-0.0076,2.0785,10679,5874,,,300
02/05/2019,2.091,2.0917,2.0481,2.0778,-0.0164,2.069,12152,6294,,,508
01/05/2019,2.0655,2.0972,2.0606,2.0942,0.0163,2.0809,7961,6673,,,319
30/04/2019,2.0474,2.0935,2.0474,2.0779,0.024,2.0783,6295,6781,,,100
29/04/2019,2.044,2.0702,2.0308,2.0539,0.0017,2.0556,7871,6841,,,347
26/04/2019,2.0913,2.0913,2.0235,2.0512,-0.0469,2.0443,450,1718,,,
25/04/2019,2.0915,2.1148,2.0915,2.0981,-0.0006,2.1021,278,1722,,,
24/04/2019,2.1142,2.1144,2.0962,2.0987,-0.0193,2.1045,1717,2835,,,972
23/04/2019,2.1153,2.1212,2.1081,2.118,0.014,2.1144,2500,2967,,,196
22/04/2019,2.0762,2.1236,2.0762,2.104,,2.107,2234,2989,,,250
18/04/2019,2.067,2.0816,2.0643,2.0709,0.0017,2.0698,2109,2937,,,250
17/04/2019,2.0848,2.0919,2.067,2.0692,-0.013,2.0769,5956,2642,,,97
16/04/2019,2.0617,2.0834,2.0511,2.0822,0.0212,2.0698,4427,2563,,,150
15/04/2019,2.0633,2.0665,2.0466,2.061,-0.0097,2.0596,4759,2725,,,250
12/04/2019,2.0731,2.0883,2.0658,2.0707,0.0035,2.0739,5913,2606,,,200
11/04/2019,2.0797,2.0836,2.0599,2.0672,-0.0204,2.0721,7379,2820,,,
10/04/2019,2.0554,2.0897,2.0498,2.0876,0.0427,2.0697,9928,3420,,,200
09/04/2019,2.063,2.0642,2.0393,2.0449,-0.0122,2.0496,6653,3530,,,350
08/04/2019,2.0536,2.063,2.0435,2.0571,0.0147,2.0552,6487,3534,,,
05/04/2019,2.0103,2.0468,2.0023,2.0424,0.029,2.0277,5345,3671,,,300
04/04/2019,2.0075,2.0288,1.9912,2.0134,0.0066,2.0156,6449,3766,,,250
03/04/2019,2.0128,2.0217,1.9887,2.0068,-0.0021,2.0024,5866,3820,,,200
02/04/2019,1.9894,2.0134,1.9857,2.0089,0.0208,2.0023,5765,4207,,,350
01/04/2019,1.9737,2.001,1.9737,1.9881,0.0167,1.9862,6171,4718,,,347
29/03/2019,1.9741,2.0006,1.9665,1.9714,0.0007,1.9772,5727,4780,,,300
28/03/2019,1.9741,1.9744,1.9384,1.9707,-0.0107,1.9591,7277,4867,,,250
27/03/2019,1.9809,1.9953,1.9716,1.9806,-0.0093,1.9861,681,2183,,,
26/03/2019,1.9941,1.9977,1.9808,1.9899,0.0095,1.9892,1285,2520,,,
25/03/2019,1.9621,1.9889,1.9569,1.9804,0.0145,1.9753,2126,3670,,,865
22/03/2019,1.9817,1.9817,1.9372,1.9659,-0.0212,1.955,4579,3753,,,
21/03/2019,2.01,2.01,1.9778,1.9871,-0.021,1.994,3989,4324,,,
20/03/2019,1.9891,2.0134,1.9761,2.0081,0.0177,1.9956,3501,4275,,,50
19/03/2019,1.9736,1.9962,1.973,1.9904,0.0214,1.9865,3317,4297,,,50
18/03/2019,1.9678,1.9805,1.9526,1.969,0.0013,1.9674,6332,4779,,,1150
15/03/2019,1.9817,1.9946,1.948,1.9677,-0.0172,1.9655,4288,4884,,,
14/03/2019,1.9932,2.0042,1.9753,1.9849,-0.0072,1.9882,6234,5968,,,1050
13/03/2019,1.9866,1.9996,1.9801,1.9921,0.0064,1.991,8448,6313,,,50
12/03/2019,1.9974,2.0151,1.9738,1.9857,-0.0085,1.9906,10319,6119,,,
11/03/2019,1.9973,2.0137,1.9849,1.9942,-0.0056,1.9984,9416,5916,,,270
08/03/2019,2.0041,2.0041,1.9455,1.9998,-0.0129,1.9701,8022,5886,,,452
07/03/2019,2.0171,2.035,1.9991,2.0127,-0.0035,2.014,4886,6114,,,65
06/03/2019,2.0086,2.0253,2.0008,2.0162,-0.0002,2.0113,6065,6196,,,174
05/03/2019,2.0101,2.0227,1.9913,2.0164,0.0021,2.0109,6509,6316,,,50
04/03/2019,2.0094,2.0375,1.9984,2.0143,0.0133,2.0169,7853,7134,,,150
01/03/2019,2.0376,2.047,1.9795,2.001,-0.0263,2.0012,7518,7410,,,388
28/02/2019,2.0238,2.0365,2.0056,2.0273,0.0052,2.0249,6646,7421,,,503
27/02/2019,2.0055,2.0331,1.9981,2.0221,0.024,2.023,6552,7372,,,150
26/02/2019,1.9761,2.0095,1.9761,1.9985,0.0239,1.9972,732,3074,,,
25/02/2019,2.0378,2.038,1.9691,1.9746,-0.0565,1.9913,1420,3167,,,25
22/02/2019,2.0366,2.045,2.0283,2.0311,-0.0052,2.0354,1364,3408,,,150
21/02/2019,2.0217,2.0366,2.017,2.0363,0.018,2.0258,1581,3143,,,262
20/02/2019,1.9988,2.0258,1.9789,2.0183,0.0237,2.0025,1181,3228,,,50
19/02/2019,2.0168,2.0168,1.986,1.9946,-0.0261,1.9995,2799,3353,,,278
18/02/2019,2.0293,2.0296,2.015,2.0207,0.0004,2.0208,1007,3458,,,44
15/02/2019,1.9828,2.0237,1.9751,2.0203,0.0487,2.0064,6066,3397,,,300
14/02/2019,1.9467,1.9762,1.9327,1.9716,0.0328,1.9549,6654,3285,,,200
13/02/2019,1.918,1.9529,1.9179,1.9388,0.0316,1.9378,9137,3182,,,200
12/02/2019,1.8986,1.9355,1.895,1.9072,0.015,1.9195,8687,3491,,,450
11/02/2019,1.902,1.9213,1.8862,1.8922,-0.0163,1.8975,6566,3673,,,250
08/02/2019,1.8971,1.9184,1.8829,1.9085,0.008,1.9058,7102,3679,,,215
07/02/2019,1.906,1.9148,1.8689,1.9005,-0.0117,1.8931,7531,3601,,,197
06/02/2019,1.8981,1.9191,1.8759,1.9122,0.0147,1.9053,5610,3930,,,362
05/02/2019,1.9123,1.922,1.8902,1.8975,-0.0099,1.902,5979,3725,,,216
04/02/2019,1.9124,1.9374,1.8821,1.9074,-0.0053,1.903,7487,3669,,,150
01/02/2019,1.877,1.9172,1.8621,1.9127,0.0353,1.8917,8189,4420,,,200
31/01/2019,1.9072,1.9295,1.8726,1.8774,-0.0195,1.9073,8766,4828,,,426
30/01/2019,1.8903,1.9186,1.8895,1.8969,0.0024,1.9058,13514,4921,,,300
29/01/2019,1.8502,1.9037,1.8502,1.8975,0.0598,1.8899,1682,1779,,,
28/01/2019,1.8664,1.8691,1.8346,1.8377,-0.0542,1.8479,4947,1992,,,500
25/01/2019,1.9034,1.9034,1.877,1.8919,0.0063,1.8866,3218,2297,,,85
24/01/2019,1.8785,1.8978,1.8661,1.8856,-0.003,1.8857,3872,2284,,,30
23/01/2019,1.9024,1.9209,1.869,1.8886,-0.0125,1.8923,5908,1907,,,
22/01/2019,1.9168,1.9168,1.8701,1.9011,-0.02,1.8868,2981,2399,,,
21/01/2019,1.917,1.9262,1.9088,1.9211,0.0051,1.9204,472,2378,,,
18/01/2019,1.8913,1.9226,1.8826,1.916,0.0317,1.9067,4839,2894,,,
17/01/2019,1.8843,1.8915,1.8535,1.8843,-0.0103,1.872,4531,2908,,,
16/01/2019,1.87,1.8972,1.8596,1.8946,0.0224,1.8794,7118,3515,,,150
15/01/2019,1.8655,1.8787,1.8505,1.8722,0.0197,1.8643,7683,3889,,,
14/01/2019,1.8961,1.9032,1.8495,1.8525,-0.0272,1.8795,9525,4237,,,
11/01/2019,1.8963,1.9226,1.8729,1.8797,-0.0264,1.892,6451,4693,,,400
10/01/2019,1.8717,1.9094,1.8613,1.9061,0.0253,1.8875,9209,4799,,,
09/01/2019,1.8359,1.8877,1.8255,1.8808,0.0538,1.8601,8984,4926,,,
08/01/2019,1.7896,1.8277,1.7812,1.827,0.0486,1.8107,5666,5323,,,300
07/01/2019,1.782,1.8239,1.7772,1.7784,0.0092,1.8031,9728,5735,,,163
04/01/2019,1.7277,1.803,1.7277,1.7692,0.0272,1.7757,8012,5891,,,
03/01/2019,1.6858,1.7463,1.6813,1.742,0.0414,1.7232,7855,6128,,,100
02/01/2019,1.682,1.7482,1.6436,1.7006,,1.7052,8642,6378,,,
31/12/2018,1.6665,1.7109,1.6536,1.6794,0.019,1.6811,4716,6360,,,
28/12/2018,1.7122,1.7122,1.6458,1.6604,-0.0131,1.6682,13783,6457,,,
27/12/2018,1.7279,1.7401,1.6751,1.6783,-0.0553,1.7092,3861,2409,,,
26/12/2018,1.65,1.7546,1.6486,1.7336,,1.7042,2383,3240,,,
24/12/2018,1.7383,1.7433,1.6618,1.6622,-0.0705,1.7164,2163,3585,,,
21/12/2018,1.7614,1.7614,1.7123,1.7327,-0.017,1.733,5615,4134,,,
20/12/2018,1.7858,1.8,1.749,1.7497,-0.0557,1.7722,4934,4350,,,93
19/12/2018,1.7673,1.8201,1.7575,1.8054,0.0515,1.7993,6858,4458,,,75
18/12/2018,1.8151,1.8189,1.7464,1.7539,-0.0728,1.7836,9939,4635,,,240
17/12/2018,1.8547,1.8682,1.8049,1.8267,-0.0186,1.8419,6723,4825,,,
14/12/2018,1.8693,1.8811,1.8383,1.8453,-0.0312,1.8571,6405,5054,,,50
13/12/2018,1.8552,1.8897,1.8295,1.8765,0.0256,1.8546,8583,6296,,,
12/12/2018,1.8597,1.885,1.8483,1.8509,0.0038,1.8708,8234,6527,,,
11/12/2018,1.8521,1.8703,1.8354,1.8471,0.003,1.8565,7920,6947,,,
10/12/2018,1.8886,1.8982,1.8371,1.8441,-0.0421,1.8674,8481,7085,,,300
07/12/2018,1.8514,1.9532,1.8314,1.8862,0.028,1.9178,11254,7033,,,200
06/12/2018,1.8844,1.9013,1.8138,1.8582,-0.0304,1.8459,13769,7589,,,600
05/12/2018,1.8893,1.932,1.8736,1.8886,-0.0123,1.9066,5652,7883,,,109
04/12/2018,1.906,1.9475,1.8839,1.9009,0.0134,1.9129,9800,8068,,,300
03/12/2018,1.8624,1.906,1.8624,1.8875,0.0581,1.8857,10310,8240,,,399
30/11/2018,1.8378,1.8494,1.7843,1.8294,-0.01,1.8169,13675,8175,,,344
29/11/2018,1.8487,1.8573,1.8146,1.8394,0.0042,1.8398,15950,8176,,,490
28/11/2018,1.8976,1.8979,1.8376,1.8384,-0.0476,1.8635,3664,2466,,,
27/11/2018,1.8871,1.9095,1.8615,1.886,-0.007,1.8896,7010,2844,,,
