,0
0,4229.5
1,4231.75
2,4225.5
3,4225.5
4,4228.0
5,4224.0
6,4223.25
7,4222.5
8,4223.25
9,4222.75
10,4250.0
11,4244.0
12,4244.0
13,4246.5
14,4246.5
15,4228.25
16,4231.75
17,4214.75
18,4201.5
19,4207.5
20,4186.5
21,4191.25
22,4199.75
23,4208.25
24,4222.25
25,4215.25
26,4212.5
27,4205.25
28,4215.0
29,4209.75
30,4208.25
31,4211.25
32,4210.75
33,4211.25
34,4214.0
35,4217.5
36,4227.5
37,4215.75
38,4215.5
39,4205.5
40,4201.5
41,4200.75
42,4201.75
43,4201.5
44,4198.75
45,4207.75
46,4202.0
47,4198.75
48,4197.5
49,4199.0
50,4198.0
51,4198.5
52,4197.5
53,4198.25
54,4198.75
55,4198.5
56,4201.75
57,4201.5
58,4203.0
59,4202.75
60,4202.5
61,4202.0
62,4198.5
63,4196.5
64,4197.5
65,4198.0
66,4198.25
67,4199.5
68,4199.25
69,4196.0
70,4196.0
71,4199.0
72,4197.0
73,4198.0
74,4199.0
75,4198.75
76,4199.0
77,4203.5
78,4204.0
79,4207.25
80,4206.0
81,4212.5
82,4214.5
83,4218.5
84,4217.75
85,4213.5
86,4211.0
87,4218.25
88,4224.0
89,4223.0
90,4221.5
91,4224.25
92,4223.25
93,4226.5
94,4225.0
95,4224.25
96,4226.0
97,4223.25
98,4223.25
99,4224.0
100,4217.75
101,4216.5
102,4209.5
103,4207.5
104,4211.25
105,4212.5
106,4214.25
107,4187.0
108,4164.75
109,4159.75
110,4160.75
111,4174.5
112,4181.75
113,4175.5
114,4175.5
115,4173.25
116,4169.75
117,4173.75
118,4176.5
119,4171.25
120,4167.75
121,4168.5
122,4158.25
123,4166.0
124,4167.75
125,4171.0
126,4159.0
127,4156.0
128,4161.25
129,4161.75
130,4159.0
131,4163.0
132,4164.25
133,4167.25
134,4166.5
135,4169.25
136,4169.25
137,4169.75
138,4172.5
139,4170.25
140,4170.5
141,4171.25
142,4169.5
143,4170.0
144,4169.25
145,4167.0
146,4168.75
147,4168.0
148,4169.25
149,4169.0
150,4171.5
151,4171.5
152,4171.25
153,4169.75
154,4170.75
155,4170.25
156,4168.0
157,4169.75
158,4170.25
