,0
0,2360.0
1,2366.0
2,2364.0
3,2365.0
4,2366.0
5,2366.0
6,2368.0
7,2367.0
8,2365.0
9,2362.0
10,2363.0
11,2363.0
12,2364.0
13,2364.0
14,2359.0
15,2356.0
16,2357.0
17,2358.0
18,2358.0
19,2358.0
20,2358.0
21,2357.0
22,2355.0
23,2355.0
24,2355.0
25,2355.0
26,2355.0
27,2354.0
28,2354.0
29,2354.0
30,2356.0
31,2355.0
32,2354.0
33,2354.0
34,2354.0
35,2355.0
36,2356.0
37,2355.0
38,2355.0
39,2355.0
40,2355.0
41,2355.0
42,2356.0
43,2357.0
44,2358.0
45,2357.0
46,2359.0
47,2359.0
48,2359.0
49,2359.0
50,2360.0
51,2360.0
52,2360.0
53,2361.0
54,2362.0
55,2363.0
56,2361.0
57,2362.0
58,2362.0
59,2364.0
60,2363.0
61,2365.0
62,2364.0
63,2363.0
64,2363.0
65,2362.0
66,2363.0
67,2358.0
68,2357.0
69,2357.0
70,2355.0
71,2357.0
72,2356.0
73,2360.0
74,2359.0
75,2356.0
76,2359.0
77,2361.0
78,2361.0
79,2362.0
80,2365.0
81,2358.0
82,2360.0
83,2366.0
84,2369.0
85,2366.0
86,2365.0
87,2364.0
88,2368.0
89,2367.0
90,2367.0
91,2366.0
92,2366.0
93,2366.0
94,2367.0
95,2369.0
96,2370.0
97,2365.0
98,2370.0
99,2368.0
100,2370.0
101,2369.0
102,2369.0
103,2373.0
104,2370.0
105,2369.0
106,2367.0
107,2367.0
108,2367.0
109,2367.0
110,2367.0
111,2368.0
112,2367.0
113,2367.0
114,2367.0
115,2367.0
116,2367.0
117,2367.0
118,2366.0
119,2366.0
120,2366.0
121,2365.0
122,2365.0
123,2366.0
124,2367.0
125,2367.0
126,2368.0
127,2366.0
128,2366.0
129,2365.0
130,2365.0
131,2365.0
132,2365.0
133,2366.0
134,2365.0
135,2365.0
136,2365.0
137,2365.0
138,2366.0
139,2366.0
140,2366.0
141,2366.0
142,2366.0
143,2367.0
144,2367.0
145,2366.0
146,2366.0
147,2367.0
148,2367.0
149,2368.0
150,2368.0
151,2368.0
152,2367.0
153,2370.0
154,2370.0
155,2376.0
156,2379.0
157,2378.0
158,2378.0
159,2381.0
160,2380.0
161,2380.0
162,2378.0
163,2378.0
164,2381.0
165,2381.0
166,2381.0
167,2379.0
168,2378.0
169,2378.0
170,2372.0
171,2372.0
172,2375.0
173,2374.0
174,2368.0
175,2369.0
176,2360.0
177,2363.0
178,2357.0
179,2361.0
180,2365.0
181,2369.0
182,2370.0
183,2370.0
184,2371.0
185,2372.0
186,2372.0
187,2372.0
188,2374.0
189,2374.0
190,2372.0
191,2374.0
192,2372.0
193,2374.0
194,2377.0
195,2378.0
196,2377.0
197,2379.0
198,2379.0
199,2378.0
200,2379.0
201,2379.0
202,2379.0
203,2379.0
204,2380.0
205,2381.0
206,2381.0
207,2381.0
208,2380.0
209,2381.0
