,0
0,3291.06
1,3290.7
2,3301.82
3,3297.7
4,3296.76
5,3303.43
6,3302.84
7,3305.27
8,3297.18
9,3296.32
10,3295.05
11,3289.81
12,3286.09
13,3288.17
14,3288.58
15,3290.33
16,3290.33
17,3284.74
18,3287.32
19,3297.38
20,3299.31
21,3297.97
22,3297.07
23,3291.57
24,3292.0
25,3295.17
26,3297.21
27,3305.53
28,3306.5
29,3306.05
30,3306.75
31,3304.93
32,3297.76
33,3295.06
34,3296.93
35,3301.57
36,3302.6
37,3301.77
38,3300.06
39,3301.58
40,3299.27
41,3301.17
42,3300.22
43,3304.27
44,3305.54
45,3302.17
46,3300.79
47,3300.22
48,3298.53
49,3301.08
50,3297.55
51,3297.72
52,3299.44
53,3299.44
54,3268.46
55,3268.5
56,3271.87
57,3270.63
58,3272.5
59,3280.3
60,3286.46
61,3284.85
62,3284.97
63,3286.2
64,3282.32
65,3284.97
66,3285.86
67,3287.24
68,3288.05
69,3285.83
70,3290.37
71,3289.54
72,3283.34
73,3285.95
74,3286.52
75,3282.43
76,3279.85
77,3281.78
78,3284.87
79,3281.94
80,3284.4
81,3281.57
82,3279.23
83,3271.2
84,3266.42
85,3263.54
86,3268.08
87,3270.98
88,3271.41
89,3273.04
90,3273.04
91,3274.35
92,3271.59
93,3271.53
94,3269.33
95,3273.71
96,3274.49
97,3276.81
98,3279.1
99,3281.96
100,3279.43
101,3281.28
102,3279.85
103,3278.91
104,3278.48
105,3275.61
106,3274.41
107,3276.03
108,3275.66
109,3274.95
110,3274.56
111,3274.78
112,3272.64
113,3273.17
114,3276.04
115,3276.69
116,3276.37
117,3275.8
118,3276.44
119,3275.71
120,3276.78
121,3274.14
122,3274.8
123,3275.8
124,3279.49
125,3279.45
126,3281.53
127,3281.53
128,3302.86
129,3310.99
130,3317.48
131,3320.02
132,3320.31
133,3319.27
134,3315.55
135,3315.46
136,3316.95
137,3315.95
138,3319.8
139,3318.54
140,3317.19
141,3317.99
142,3316.94
143,3318.28
144,3319.97
145,3318.89
146,3320.84
147,3324.19
148,3321.38
149,3322.51
150,3326.1
151,3326.29
152,3330.33
153,3329.47
154,3328.92
155,3330.11
156,3331.12
157,3329.9
158,3331.53
159,3333.11
160,3326.73
161,3331.05
162,3331.54
163,3326.15
164,3326.15
165,3339.75
166,3338.72
167,3333.21
168,3333.25
169,3334.55
170,3334.49
171,3336.07
172,3338.66
173,3339.22
174,3338.61
175,3337.16
176,3336.79
177,3334.73
178,3332.67
179,3330.7
180,3331.28
181,3330.64
182,3328.13
183,3329.09
