,0
0,100.55216999999999
1,100.57391
2,100.58695999999999
3,100.57391
4,100.55216999999999
5,100.58261000000002
6,100.57826
7,100.52174000000001
8,100.5
9,100.43044
10,100.44783000000001
11,100.46956999999999
12,100.44783000000001
13,100.42609
14,100.40435
15,100.38695999999999
16,100.41739
17,100.43044
18,100.43478
19,100.41739
20,100.43478
21,100.44783000000001
22,100.51304000000002
23,100.59565
24,100.73913
25,100.68261
26,100.68696
27,100.7
28,100.72609000000001
29,100.76957
30,100.75652
31,100.6913
32,100.70435000000002
33,100.70435000000002
34,100.67390999999999
35,100.63478000000002
36,100.6
37,100.58695999999999
38,100.57826
39,100.6087
40,100.58695999999999
41,100.56522
42,100.59565
43,100.61739
44,100.63044000000002
45,100.69565
46,100.69565
47,100.70435000000002
48,100.73044
49,100.96087
50,100.99565
51,101.02609
52,101.13478
53,101.06522
54,101.10869999999998
55,101.24348
56,101.26087
57,101.25652000000001
58,101.26087
59,101.21304000000002
60,101.35217
61,101.26087
62,101.28260999999999
63,101.26522
64,101.33478000000002
65,101.36957
66,101.41304000000001
67,101.32174
68,101.34348
69,101.37826000000001
70,101.36522
71,101.37391
72,101.33044
73,101.30435000000001
74,101.37391
75,101.3913
76,101.18696
77,101.20435
78,101.38261
79,101.37391
80,101.35651999999999
81,101.53478
82,101.51304
83,101.50435
84,101.5087
85,101.53478
86,101.49564999999998
87,101.53478
88,101.51739
89,101.48696
90,101.49564999999998
91,101.51304
92,101.45652
93,101.47390999999999
94,101.46956999999999
95,101.45217
96,101.47825999999999
97,101.44783
98,101.43913
99,101.44783
100,101.44783
101,101.46956999999999
102,101.46956999999999
103,101.52174
104,101.48261
105,101.48696
106,101.4913
107,101.47825999999999
108,101.46522
109,101.49564999999998
110,101.5
111,101.49564999999998
112,101.52609
113,101.57391
114,101.5087
115,101.47390999999999
116,101.49564999999998
117,101.45652
118,101.51304
119,101.5087
120,101.46956999999999
121,101.41739
122,101.37826000000001
123,101.39565
124,101.34348
125,101.35651999999999
126,101.4
127,101.4087
128,101.38261
129,101.48261
130,101.48261
131,101.53044
132,101.55216999999999
133,101.53478
134,101.53044
135,101.59564999999999
136,101.65217
137,101.67390999999999
138,101.73478
139,101.68261
140,101.73478
141,101.55651999999999
142,101.73478
143,101.72174
144,101.68261
145,101.69129999999998
146,101.79130000000002
147,101.87826
148,101.83044000000001
149,101.86086999999999
150,101.87391
151,101.82174
152,101.85652
153,101.85652
154,101.82609000000001
155,101.83044000000001
156,101.82609000000001
157,101.72609
158,101.79130000000002
159,101.77391
160,101.66957
161,101.73478
162,101.68261
163,101.63044000000001
164,101.7
165,101.72174
166,101.7
167,101.7
168,101.71739000000002
169,101.71739000000002
170,101.70869999999998
171,101.68261
172,101.69129999999998
173,101.63913000000001
174,101.63478
175,101.70869999999998
176,101.70435
177,101.66957
178,101.67390999999999
179,101.66957
180,101.65652
181,101.67826
182,101.67826
183,101.68695999999998
184,101.70435
185,101.68695999999998
186,101.65217
187,101.62609
188,101.63913000000001
189,101.64783
190,101.66521999999999
191,101.64348
192,101.62609
193,101.61738999999999
194,101.63044000000001
195,101.6
196,101.59564999999999
197,101.57826
198,101.63478
199,101.66086999999997
200,101.68261
201,101.66521999999999
202,101.68695999999998
203,101.78261
204,101.82174
205,101.76957
206,101.7
207,101.67390999999999
208,101.62174
209,101.56521999999998
210,101.46087
211,101.4
212,101.4087
213,101.44783
214,101.45652
215,101.43044
216,101.43044
217,101.38261
218,101.39565
219,101.33044
220,101.27391
221,101.33913000000001
222,101.31739
223,101.33478000000002
224,101.33913000000001
225,101.4087
226,101.41304000000001
227,101.41304000000001
228,101.44348000000001
229,101.46956999999999
230,101.63478
231,101.49564999999998
232,101.53478
233,101.5087
234,101.64783
235,101.52174
236,101.48261
237,101.4913
238,101.53913
239,101.60435
240,101.62609
241,101.5913
242,101.57826
243,101.55216999999999
244,101.6087
245,101.64783
246,101.68695999999998
247,101.72174
248,101.68261
249,101.71304
250,101.69565
251,101.74348
252,101.71739000000002
253,101.74348
254,101.77391
255,101.80435
256,101.81304000000002
257,101.81304000000002
258,101.93478000000002
259,101.94783000000001
260,101.91304000000002
261,101.89565
262,101.9
263,101.87826
264,101.88696
265,101.8913
266,101.86522
267,101.83913000000003
268,101.82174
269,101.83913000000003
270,101.81304000000002
271,101.74783000000001
272,101.72174
273,101.74348
274,101.72609
275,101.69129999999998
276,101.67390999999999
277,101.66957
278,101.63913000000001
279,101.63478
280,101.65217
281,101.63913000000001
282,101.63913000000001
283,101.6087
284,101.57826
285,101.55216999999999
286,101.60435
287,101.63044000000001
288,101.57826
289,101.58695999999998
290,101.54347999999999
291,101.55216999999999
292,101.51739
293,101.43913
294,101.4
295,101.41739
296,101.45652
297,101.47390999999999
298,101.47825999999999
299,101.48696
300,101.55216999999999
301,101.56087
302,101.55216999999999
303,101.54783
304,101.6
305,101.63044000000001
306,101.70435
307,101.67826
308,101.67390999999999
309,101.64783
310,101.63478
311,101.5913
312,101.56087
313,101.53913
314,101.54347999999999
315,101.57391
316,101.5913
317,101.56087
318,101.56957
319,101.57391
320,101.56521999999998
321,101.57391
322,101.58695999999998
323,101.5913
324,101.58261
325,101.57826
326,101.56957
327,101.56521999999998
328,101.57391
329,101.56957
330,101.57826
331,101.57826
332,101.56957
333,101.57391
334,101.57826
335,101.56957
336,101.57391
337,101.56521999999998
338,101.55651999999999
339,101.56087
340,101.56087
341,101.58261
342,101.58695999999998
343,101.55651999999999
344,101.55651999999999
345,101.56087
346,101.52174
347,101.56957
348,101.55651999999999
349,101.60435
350,101.61738999999999
351,101.61304
352,101.6087
353,101.65652
354,101.66086999999997
355,101.63478
356,101.63044000000001
357,101.61738999999999
358,101.64348
359,101.66957
360,101.70869999999998
361,101.68261
362,101.76087000000001
363,101.79130000000002
364,101.80870000000002
365,101.80870000000002
366,101.82174
367,101.80870000000002
368,101.8
369,101.78261
370,101.76522
371,101.74348
372,101.82174
373,101.81739
374,101.83478000000001
375,101.87391
376,101.84783
377,101.83913000000003
378,101.96087
379,101.98696
380,102.01304
381,102.03044
382,102.12609
383,102.11304
384,102.13913000000001
385,102.14348000000001
386,102.13913000000001
387,102.16957
388,102.08695999999999
389,102.1
390,102.13913000000001
391,102.12173999999999
392,102.11304
393,102.10435
394,102.07826
395,102.12173999999999
396,102.0913
397,102.11739
398,102.06522
399,102.07826
400,102.05651999999999
401,102.07826
402,102.08261
403,102.04348
404,102.38696000000002
405,102.22174
406,102.27391
407,102.31304
408,102.2
409,102.06956999999998
410,102.20435
411,102.25216999999999
412,102.26957
413,102.25652
414,102.20435
415,102.15217
416,102.16957
417,102.15217
418,102.18696
419,102.17826
420,102.22174
421,102.21739000000001
422,102.2087
423,102.21304
424,102.24347999999999
425,102.28260999999999
426,102.23913
427,102.25652
428,102.31738999999999
429,102.2913
430,102.31738999999999
431,102.31304
432,102.31738999999999
433,102.2913
434,102.28260999999999
435,102.3
436,102.40870000000001
437,102.36522
438,102.40870000000001
439,102.46956999999999
440,102.47391
441,102.53478000000001
442,102.57826
443,102.5913
444,102.56957
445,102.6
446,102.63044000000001
447,102.65217
448,102.64783
449,102.63913000000001
450,102.66957
451,102.66086999999999
452,102.66086999999999
453,102.65217
454,102.66086999999999
455,102.68696
456,102.69565
457,102.69999999999999
458,102.72609
459,102.76956999999999
460,102.80435
