,0
0,3547.0
1,3552.0
2,3552.0
3,3549.0
4,3551.0
5,3547.0
6,3543.0
7,3541.0
8,3542.0
9,3544.0
10,3545.0
11,3547.0
12,3548.0
13,3547.0
14,3547.0
15,3548.0
16,3548.0
17,3549.0
18,3549.0
19,3550.0
20,3551.0
21,3549.0
22,3549.0
23,3550.0
24,3550.0
25,3551.0
26,3551.0
27,3551.0
28,3551.0
29,3551.0
30,3553.0
31,3554.0
32,3553.0
33,3553.0
34,3554.0
35,3553.0
36,3553.0
37,3554.0
38,3554.0
39,3554.0
40,3553.0
41,3552.0
42,3553.0
43,3553.0
44,3553.0
45,3554.0
46,3554.0
47,3554.0
48,3554.0
49,3555.0
50,3555.0
51,3556.0
52,3555.0
53,3555.0
54,3555.0
55,3555.0
56,3555.0
57,3557.0
58,3558.0
59,3559.0
60,3560.0
61,3561.0
62,3560.0
63,3561.0
64,3560.0
65,3562.0
66,3562.0
67,3562.0
68,3565.0
69,3565.0
70,3565.0
71,3567.0
72,3566.0
73,3566.0
74,3568.0
75,3568.0
76,3569.0
77,3570.0
78,3568.0
79,3557.0
80,3557.0
81,3555.0
82,3556.0
83,3554.0
84,3551.0
85,3540.0
86,3549.0
87,3541.0
88,3547.0
89,3544.0
90,3535.0
91,3533.0
92,3536.0
93,3538.0
94,3538.0
95,3542.0
96,3538.0
97,3542.0
98,3544.0
99,3546.0
100,3542.0
101,3543.0
102,3543.0
103,3546.0
104,3544.0
105,3551.0
106,3553.0
107,3556.0
108,3559.0
109,3562.0
110,3562.0
111,3563.0
112,3563.0
113,3563.0
114,3563.0
115,3563.0
116,3563.0
117,3563.0
118,3563.0
119,3563.0
120,3560.0
121,3561.0
122,3561.0
123,3561.0
124,3560.0
125,3559.0
126,3558.0
127,3558.0
128,3559.0
129,3560.0
130,3557.0
131,3557.0
132,3556.0
133,3552.0
134,3552.0
135,3553.0
136,3554.0
137,3554.0
138,3553.0
139,3554.0
140,3554.0
141,3553.0
142,3553.0
143,3553.0
144,3554.0
145,3554.0
146,3555.0
147,3554.0
148,3554.0
149,3555.0
150,3555.0
151,3553.0
152,3554.0
153,3554.0
154,3556.0
155,3557.0
156,3556.0
157,3553.0
158,3556.0
159,3553.0
160,3554.0
161,3554.0
162,3555.0
163,3556.0
164,3554.0
165,3553.0
166,3551.0
167,3553.0
168,3551.0
169,3550.0
170,3547.0
171,3550.0
172,3552.0
173,3554.0
174,3556.0
175,3557.0
176,3556.0
177,3555.0
178,3557.0
179,3553.0
180,3551.0
181,3553.0
182,3558.0
183,3557.0
184,3564.0
185,3565.0
186,3566.0
187,3565.0
188,3565.0
189,3563.0
190,3565.0
191,3564.0
192,3562.0
193,3554.0
194,3551.0
195,3544.0
196,3540.0
197,3541.0
198,3537.0
199,3535.0
200,3535.0
201,3525.0
202,3522.0
203,3515.0
204,3499.0
205,3501.0
206,3494.0
207,3505.0
208,3510.0
209,3510.0
210,3509.0
211,3509.0
212,3511.0
213,3511.0
214,3511.0
215,3509.0
216,3511.0
217,3511.0
218,3511.0
219,3511.0
220,3510.0
221,3510.0
222,3511.0
223,3511.0
224,3511.0
225,3512.0
226,3512.0
227,3511.0
228,3511.0
229,3511.0
230,3511.0
231,3511.0
232,3510.0
233,3511.0
234,3511.0
235,3511.0
236,3511.0
237,3508.0
238,3508.0
239,3507.0
240,3507.0
241,3507.0
242,3508.0
243,3507.0
244,3507.0
245,3507.0
246,3507.0
247,3505.0
248,3508.0
249,3508.0
250,3508.0
251,3509.0
252,3511.0
253,3512.0
254,3512.0
255,3513.0
256,3514.0
257,3511.0
258,3512.0
259,3511.0
260,3514.0
261,3512.0
262,3512.0
263,3513.0
264,3511.0
265,3512.0
266,3513.0
267,3516.0
268,3517.0
269,3517.0
270,3516.0
271,3514.0
272,3518.0
273,3519.0
274,3519.0
275,3519.0
276,3525.0
277,3525.0
278,3534.0
279,3537.0
280,3542.0
281,3549.0
282,3551.0
283,3557.0
284,3559.0
285,3559.0
286,3562.0
287,3568.0
288,3571.0
289,3568.0
290,3568.0
291,3569.0
292,3572.0
293,3571.0
294,3566.0
295,3571.0
296,3570.0
297,3572.0
298,3572.0
299,3574.0
300,3575.0
301,3574.0
302,3574.0
303,3574.0
304,3574.0
305,3574.0
306,3575.0
307,3575.0
308,3574.0
309,3576.0
310,3576.0
311,3576.0
312,3574.0
313,3575.0
314,3575.0
315,3574.0
316,3575.0
317,3574.0
318,3573.0
319,3571.0
320,3571.0
321,3572.0
322,3572.0
323,3572.0
324,3572.0
325,3572.0
326,3572.0
327,3572.0
328,3571.0
329,3573.0
330,3572.0
331,3573.0
332,3574.0
333,3573.0
334,3574.0
335,3574.0
336,3573.0
337,3574.0
338,3575.0
339,3574.0
340,3572.0
341,3574.0
342,3574.0
343,3574.0
344,3575.0
345,3583.0
346,3585.0
347,3583.0
348,3583.0
349,3585.0
350,3585.0
351,3584.0
352,3584.0
353,3585.0
354,3585.0
355,3585.0
356,3586.0
357,3586.0
358,3588.0
359,3586.0
360,3586.0
361,3587.0
362,3587.0
363,3587.0
364,3586.0
365,3586.0
366,3585.0
367,3587.0
368,3588.0
369,3588.0
370,3593.0
371,3595.0
372,3600.0
373,3600.0
374,3596.0
375,3597.0
376,3602.0
377,3598.0
378,3601.0
379,3601.0
380,3604.0
381,3605.0
382,3602.0
383,3603.0
384,3605.0
385,3601.0
386,3601.0
387,3601.0
388,3603.0
389,3606.0
390,3606.0
391,3608.0
392,3607.0
393,3605.0
394,3603.0
395,3601.0
396,3599.0
397,3598.0
398,3599.0
399,3599.0
400,3598.0
401,3598.0
402,3599.0
403,3599.0
404,3600.0
405,3601.0
406,3601.0
407,3602.0
408,3602.0
409,3602.0
410,3603.0
411,3603.0
412,3602.0
413,3601.0
414,3602.0
415,3602.0
416,3603.0
417,3603.0
418,3603.0
419,3602.0
420,3603.0
421,3604.0
422,3604.0
423,3604.0
424,3603.0
425,3603.0
426,3603.0
427,3601.0
428,3601.0
429,3601.0
430,3601.0
431,3601.0
432,3600.0
433,3601.0
434,3598.0
435,3598.0
436,3600.0
437,3599.0
438,3599.0
439,3597.0
440,3598.0
441,3598.0
442,3600.0
443,3599.0
444,3599.0
445,3600.0
446,3600.0
447,3599.0
448,3601.0
449,3601.0
450,3600.0
451,3600.0
452,3598.0
453,3598.0
454,3601.0
455,3599.0
456,3598.0
457,3597.0
458,3596.0
459,3595.0
460,3597.0
461,3596.0
462,3597.0
463,3598.0
464,3596.0
465,3601.0
466,3602.0
467,3606.0
468,3604.0
469,3598.0
470,3600.0
471,3600.0
472,3602.0
473,3604.0
474,3599.0
475,3600.0
476,3602.0
477,3603.0
478,3604.0
479,3607.0
480,3604.0
481,3604.0
482,3605.0
483,3604.0
484,3604.0
485,3604.0
486,3604.0
487,3601.0
488,3601.0
489,3605.0
490,3596.0
491,3595.0
492,3596.0
493,3596.0
494,3598.0
495,3598.0
496,3597.0
497,3595.0
498,3593.0
499,3594.0
500,3595.0
501,3595.0
502,3595.0
503,3595.0
504,3595.0
505,3595.0
506,3595.0
507,3593.0
508,3595.0
509,3594.0
510,3594.0
511,3595.0
512,3594.0
513,3595.0
514,3597.0
515,3598.0
516,3598.0
517,3598.0
518,3599.0
519,3599.0
520,3600.0
521,3599.0
522,3599.0
523,3598.0
524,3599.0
525,3599.0
526,3598.0
527,3600.0
528,3598.0
529,3597.0
530,3597.0
531,3597.0
532,3599.0
533,3596.0
534,3598.0
535,3598.0
