,0
0,5022.0
1,5021.5
2,5022.75
3,5022.5
4,5025.25
5,5024.75
6,5025.25
7,5024.0
8,5023.5
9,5024.75
10,5022.75
11,5024.500000000001
12,5023.75
13,5024.75
14,5022.75
15,5023.25
16,5021.5
17,5022.5
18,5021.25
19,5022.25
20,5021.5
21,5018.0
22,5018.75
23,5021.5
24,5019.5
25,5023.75
26,5026.5
27,5036.5
28,5039.5
29,5041.5
30,5042.0
31,5042.75
32,5043.75
33,5043.75
34,5040.0
35,5041.5
36,5039.25
37,5038.0
38,5031.5
39,5033.25
40,5031.25
41,5035.25
42,5033.25
43,5034.5
44,5033.25
45,5036.0
46,5032.25
47,5031.5
48,5031.25
49,5032.75
50,5033.5
51,5032.75
52,5031.5
53,5031.25
54,5032.0
55,5031.5
56,5031.5
57,5032.75
58,5033.0
59,5030.75
60,5027.0
61,5026.0
62,5025.75
63,5028.75
64,5029.5
65,5029.75
66,5029.75
67,5030.0
68,5028.5
69,5029.0
70,5029.75
71,5030.0
72,5030.0
73,5029.0
74,5027.5
75,5028.25
76,5027.25
77,5027.5
78,5029.0
79,5029.0
80,5029.0
81,5030.75
82,5031.5
83,5032.5
84,5032.5
85,5031.25
86,5032.5
87,5029.75
88,5026.25
89,5027.75
90,5027.75
91,5027.75
92,5032.5
93,5033.0
94,5037.0
95,5036.5
96,5036.75
97,5037.75
98,5036.75
99,5036.5
100,5036.0
101,5034.75
102,5038.0
103,5034.75
104,5033.75
105,5031.25
106,5030.25
107,5029.75
108,5031.25
109,5032.5
110,5031.75
111,5035.5
112,5033.0
113,5034.5
114,5036.25
115,5034.0
116,5038.75
117,5041.0
118,5038.75
119,5037.0
120,5021.5
121,5024.0
122,5033.75
123,5035.0
124,5030.25
125,5022.75
126,5025.0
127,5018.0
128,5012.0
129,5020.0
130,5024.0
131,5026.5
132,5028.25
133,5040.0
134,5039.0
135,5039.25
136,5041.25
137,5041.0
138,5045.0
139,5046.5
140,5046.5
141,5046.25
142,5047.75
143,5043.75
144,5043.0
145,5042.25
146,5042.5
147,5042.0
148,5040.25
149,5039.75
150,5039.25
151,5039.5
152,5040.25
153,5040.5
154,5040.5
155,5039.5
156,5040.25
157,5039.5
158,5039.75
159,5039.5
160,5039.75
161,5037.5
162,5035.5
163,5032.25
164,5033.25
165,5034.75
166,5035.0
167,5036.25
168,5035.75
169,5036.0
170,5036.0
171,5035.5
172,5035.25
173,5033.5
174,5034.0
175,5033.75
176,5034.25
177,5034.25
178,5032.5
179,5032.75
180,5032.0
181,5031.0
182,5029.5
183,5030.5
184,5032.5
185,5034.5
186,5032.75
187,5033.25
188,5034.75
189,5034.0
190,5032.5
191,5034.5
192,5034.5
193,5033.25
194,5032.5
195,5032.0
196,5029.5
197,5030.5
198,5033.25
199,5034.0
200,5031.0
201,5034.0
202,5031.75
203,5029.0
204,5026.75
205,5016.5
206,5017.75
207,5000.25
208,5003.0
209,5004.75
210,4997.25
211,4997.5
212,5005.0
213,5008.75
214,5007.25
215,5009.5
216,5016.25
217,5017.5
218,5019.75
219,5022.5
220,5021.5
221,5025.75
222,5027.25
223,5025.5
224,5027.75
225,5032.25
226,5032.75
227,5029.5
228,5030.5
229,5033.75
230,5037.5
231,5035.25
232,5034.75
233,5036.0
234,5038.0
235,5038.75
236,5039.25
237,5039.25
238,5037.75
239,5038.5
240,5037.0
241,5036.75
242,5037.75
243,5037.5
244,5040.5
245,5040.750000000001
246,5041.0
247,5040.750000000001
248,5040.750000000001
249,5040.0
250,5041.75
251,5041.75
252,5041.5
253,5041.25
254,5041.0
255,5040.750000000001
256,5039.75
257,5039.75
258,5040.750000000001
259,5039.75
260,5039.75
261,5039.75
262,5040.0
263,5039.75
264,5040.5
265,5040.0
266,5041.0
267,5039.25
268,5038.75
269,5039.5
270,5039.25
271,5040.5
272,5040.5
273,5040.5
274,5038.5
275,5037.75
276,5037.25
277,5039.0
278,5041.0
279,5041.75
280,5040.25
281,5042.25
282,5044.25
283,5043.25
284,5042.5
285,5043.25
286,5042.75
287,5041.75
288,5043.25
289,5041.75
290,5044.25
291,5042.75
292,5040.750000000001
293,5041.0
294,5043.0
295,5043.0
296,5040.750000000001
297,5054.0
298,5054.0
299,5055.0
300,5055.5
301,5056.0
302,5057.25
303,5055.5
304,5060.0
305,5059.75
306,5062.25
307,5059.5
308,5053.0
309,5056.0
310,5058.75
311,5058.5
312,5059.25
313,5059.0
314,5057.75
315,5056.25
316,5051.25
317,5054.75
318,5056.75
319,5055.75
320,5054.5
321,5056.5
322,5055.25
323,5061.5
324,5061.25
325,5059.75
326,5060.5
327,5051.75
328,5053.0
329,5051.5
330,5051.0
331,5053.0
332,5051.75
333,5051.5
334,5051.25
335,5051.0
336,5051.75
337,5051.75
338,5052.5
339,5051.5
340,5051.75
341,5051.25
342,5051.25
343,5051.5
344,5052.0
345,5052.0
346,5052.5
347,5052.25
348,5052.5
349,5052.0
350,5051.75
351,5051.5
352,5051.75
353,5051.75
354,5051.5
355,5050.75
356,5049.25
357,5047.75
358,5049.5
359,5048.0
360,5049.0
361,5048.5
362,5049.25
363,5047.75
364,5045.75
365,5045.5
366,5046.25
367,5046.25
368,5050.75
369,5052.25
370,5052.25
371,5052.75
372,5053.25
373,5053.75
374,5053.25
375,5053.0
376,5053.75
377,5052.25
378,5053.0
379,5053.25
380,5053.75
381,5055.0
382,5055.5
383,5054.25
384,5054.0
385,5054.0
386,5054.5
387,5053.0
