,0
0,2286.0
1,2286.0
2,2282.0
3,2282.0
4,2284.0
5,2285.0
6,2285.0
7,2286.0
8,2285.0
9,2286.0
10,2286.0
11,2286.0
12,2286.0
13,2286.0
14,2285.0
15,2284.0
16,2285.0
17,2285.0
18,2285.0
19,2285.0
20,2286.0
21,2286.0
22,2286.0
23,2286.0
24,2288.0
25,2288.0
26,2287.0
27,2287.0
28,2287.0
29,2288.0
30,2289.0
31,2289.0
32,2289.0
33,2289.0
34,2289.0
35,2289.0
36,2289.0
37,2289.0
38,2288.0
39,2289.0
40,2289.0
41,2288.0
42,2288.0
43,2289.0
44,2288.0
45,2287.0
46,2288.0
47,2288.0
48,2287.0
49,2289.0
50,2290.0
51,2291.0
52,2291.0
53,2293.0
54,2296.0
55,2295.0
56,2295.0
57,2296.0
58,2297.0
59,2300.0
60,2301.0
61,2299.0
62,2299.0
63,2299.0
64,2298.0
65,2297.0
66,2298.0
67,2298.0
68,2298.0
69,2298.0
70,2298.0
71,2298.0
72,2298.0
73,2298.0
74,2298.0
75,2300.0
76,2297.0
77,2296.0
78,2297.0
79,2290.0
80,2292.0
81,2292.0
82,2294.0
83,2295.0
84,2296.0
85,2300.0
86,2299.0
87,2300.0
88,2299.0
89,2300.0
90,2301.0
91,2299.0
92,2298.0
93,2299.0
94,2299.0
95,2301.0
96,2302.0
97,2300.0
98,2301.0
99,2301.0
100,2300.0
101,2298.0
102,2299.0
103,2299.0
104,2303.0
105,2306.0
106,2305.0
107,2304.0
108,2304.0
109,2304.0
110,2304.0
111,2304.0
112,2304.0
113,2304.0
114,2304.0
115,2305.0
116,2305.0
117,2304.0
118,2305.0
119,2304.0
120,2304.0
121,2304.0
122,2303.0
123,2303.0
124,2303.0
125,2303.0
126,2303.0
127,2303.0
128,2303.0
129,2303.0
130,2304.0
131,2304.0
132,2304.0
133,2304.0
134,2304.0
135,2304.0
136,2304.0
137,2304.0
138,2304.0
139,2303.0
140,2303.0
141,2303.0
142,2303.0
143,2303.0
144,2304.0
145,2305.0
146,2304.0
147,2305.0
148,2302.0
149,2302.0
150,2302.0
151,2303.0
152,2303.0
153,2303.0
154,2304.0
155,2303.0
156,2302.0
157,2302.0
158,2302.0
159,2304.0
160,2305.0
161,2306.0
162,2305.0
163,2305.0
164,2305.0
165,2308.0
166,2307.0
167,2306.0
168,2306.0
169,2302.0
170,2301.0
171,2303.0
172,2303.0
173,2300.0
174,2302.0
175,2303.0
176,2305.0
177,2306.0
178,2308.0
179,2308.0
180,2308.0
181,2307.0
182,2305.0
183,2306.0
184,2307.0
185,2307.0
186,2307.0
187,2308.0
188,2307.0
189,2307.0
190,2305.0
191,2303.0
192,2305.0
193,2304.0
194,2300.0
195,2303.0
196,2300.0
197,2300.0
198,2303.0
199,2304.0
200,2304.0
201,2306.0
202,2308.0
203,2309.0
204,2310.0
205,2309.0
206,2309.0
207,2309.0
